Genre	Mean	Total
Romance	3.5504344768936207	1205	
Western	3.658921396573223	185	
Horror	3.4853683175590993	723	
Animation	3.5973733575788422	223	
Adventure	3.503404281631307	707	
Thriller	3.5629230581049898	1425	
Mystery	3.653242827089667	475	
Fantasy	3.5071166295530922	463	
Foreign	3.4957520992341258	271	
War	3.5018081990913696	231	
Crime	3.5724008455276626	905	
Drama	3.535949153524536	3721	
Action	3.558276709938397	1175	
Comedy	3.5369001945980565	2111	
Music	3.4411217105181717	248	
TV Movie	3.595226232157285	87	
Science Fiction	3.525669760212952	593	
History	3.4262988516956385	306	
Family	3.3964312687197538	386	
Documentary	3.485778225572068	502	
